VARSIG7	overridestyl overrid style 
VARSIG6	path 
VARSIG8	tailor tailor 
VARSIG3	slot 
VARSIG2	messag 
VARSIG5	path 
VARSIG4	developmentmod develop mode 
COMMENTS	specifi contract interact shell interact shell method launch roo bootstrap mechan envisag implement jline initi implement slot link flash level caller wish modifi window titl support oper system shell effort basi run command control caller command execut requir command success except displai progress notif user notif ideal displai consist screen locat shell implement implement multipl messag displai concurr implement determin flash messag replac previou flash messag caller alloc uniqu slot messag suggest caller slot updat conflict flash messag sequenc slot pass empti messag slot clear implement level slot concept expect case level messag messag displai empti slot identif slot messag empti exit request exit code shell return directori current run shell instanc directori current shell instanc present consol prompt user interact shell shell caller user finish session quit command shell level develop mode exact mean vari shell implement developmentmod develop mode develop mode enabl path displai shell prompt implement ensur path includ screen care merg product handl special format requir ansi support implement path set empti format special ansi code support api compat st shell tailor implement inject explicitli activ tailor tailor implement 
CLASSES	shell 
VARSIG1	level level 
VARSIG0	 
METHODS	executecommand execut command flash getexitshellrequest exit shell request gethom isdevelopmentmod develop mode promptloop prompt loop setdevelopmentmod set develop mode setpromptpath set prompt path setpromptpath set prompt path settailor set tailor 
MTHSIG4	isdevelopmentmod develop mode 
MTHSIG5	promptloop prompt loop 
MTHSIG6	setdevelopmentmod set develop mode developmentmod develop mode 
MTHSIG7	setpromptpath set prompt path path 
MTHSIG0	executecommand execut command 
MTHSIG1	flash level level messag slot 
PACKAGE	springframework roo shell 
MTHSIG2	getexitshellrequest exit shell request 
MTHSIG3	gethom 
VARIABLES	level messag slot developmentmod develop mode path path overridestyl overrid style tailor window titl slot 
MTHSIG8	setpromptpath set prompt path path overridestyl overrid style 
MTHSIG9	settailor set tailor tailor tailor 
