VARSIG7	variabledeclar variabl declar 
VARSIG6	fielddeclar field declar fielddeclar field declar 
VARSIG9	set javasymbolnam symbol typeparamet type paramet 
VARSIG8	compilationunitservic compil unit servic compilationunitservic compil unit servic 
VARSIG3	compilationunitservic compil unit servic compilationunitservic compil unit servic 
VARSIG2	variabledeclar variabl declar 
VARSIG5	declaredbymetadataid declar metadata 
VARSIG4	set javasymbolnam symbol typeparamet type paramet 
COMMENTS	parser implement link fieldmetadata field metadata field convert parser modifi jdk modifi convert arrai variabl arrai notat lookup initi request easili determin add parameter type field type initi initi fake field javapars parser pars easiest build simpl sourc requir field pars resolv import roo add annot locat add field verifi field exist field current field add field compil unit locat field remov iter bodi declar member avoid concurr modif except 
VARSIG19	variabledeclar variabl declar 
VARSIG1	fielddeclar field declar fielddeclar field declar 
VARSIG18	bodydeclar bodi declar 
VARSIG0	declaredbymetadataid declar metadata 
VARSIG17	annotationmetadata annot metadata annot 
MTHSIG4	removefield remov field compilationunitservic compil unit servic compilationunitservic compil unit servic list bodydeclar bodi declar member javasymbolnam symbol fieldnam field 
VARSIG12	list bodydeclar bodi declar member 
VARSIG11	compilationunitservic compil unit servic compilationunitservic compil unit servic 
VARSIG10	annotationexpr annot expr annot 
MTHSIG0	getinst instanc declaredbymetadataid declar metadata fielddeclar field declar fielddeclar field declar variabledeclar variabl declar compilationunitservic compil unit servic compilationunitservic compil unit servic set javasymbolnam symbol typeparamet type paramet 
VARSIG16	javatyp type paramet 
MTHSIG1	javaparserfieldmetadatabuild parser field metadata builder declaredbymetadataid declar metadata fielddeclar field declar fielddeclar field declar variabledeclar variabl declar compilationunitservic compil unit servic compilationunitservic compil unit servic set javasymbolnam symbol typeparamet type paramet 
VARSIG15	parseexcept pars except 
PACKAGE	springframework roo classpath javapars detail 
MTHSIG2	build 
VARSIG14	javatyp type paramet 
MTHSIG3	addfield add field compilationunitservic compil unit servic compilationunitservic compil unit servic list bodydeclar bodi declar member fieldmetadata field metadata field 
VARSIG13	fieldmetadata field metadata field 
CLASSES	javaparserfieldmetadatabuild parser field metadata builder 
METHODS	getinst instanc javaparserfieldmetadatabuild parser field metadata builder build addfield add field removefield remov field 
VARSIG23	bodydeclar bodi declar 
VARSIG22	javasymbolnam symbol fieldnam field 
VARSIG21	list bodydeclar bodi declar member 
VARSIG20	compilationunitservic compil unit servic compilationunitservic compil unit servic 
VARSIG24	variabledeclar variabl declar 
VARIABLES	declaredbymetadataid declar metadata fielddeclar field declar compilationunitservic compil unit servic typeparamet type paramet declaredbymetadataid declar metadata fielddeclar field declar compilationunitservic compil unit servic typeparamet type paramet annot compilationunitservic compil unit servic member field paramet paramet annot compilationunitservic compil unit servic member fieldnam field fieldtyp field type fieldiniti field initi fieldnam field annot declaredbymetadataid declar metadata modifi type annot fieldmetadatabuild field metadata builder inittyp init type newfield field fieldtypearg field type importedparametertyp import paramet type var bai type bodydeclar bodi declar init ocr typetoimport type nameexpr expr classorinterfacetyp type inittypearg init type importedparametertyp import paramet type annot nextfieldindex field bdf todelet delet fielddeclar field declar 
