VARSIG7	element configur 
VARSIG6	element dependencyel depend element 
VARSIG9	element repositoryel repositori element 
VARSIG8	element repositoryel repositori element 
VARSIG3	filedetail file detail 
VARSIG2	gwtpath gwt path path 
VARSIG5	element dependencyel depend element 
VARSIG4	element configur 
COMMENTS	gwt instal servic permit instal gwt project share allow instal web piec instal add gwt natur builder name maven plugin configur xml document add depend add pom plugin add pom repositori updat web xml copi directori file ensur metadata fire ditch add gae sdk specif jar systempath system path appenginelaunch app engin launcher happi read templat insert user user output file user add builder configur add addit natur gae plugin configur add gaenatur gae natur output directori todo todo remov establish gwt mvc project 
VARSIG19	ioexcept except 
VARSIG1	gwtpath gwt path path 
VARSIG18	except 
VARSIG0	componentcontext compon context context 
VARSIG17	ioexcept except ioe 
MTHSIG4	updaterepositori updat repositori element configur 
VARSIG12	except 
MTHSIG5	updateplugin updat plugin element configur 
VARSIG11	element pluginel plugin element 
MTHSIG6	updatedatanulcueusplugin updat data nulcueu plugin 
VARSIG10	element configur 
MTHSIG7	copydirectorycont copi directori content gwtpath gwt path gwtpath gwt path 
MTHSIG0	activ componentcontext compon context context 
VARSIG16	url url 
MTHSIG1	issetupgwtavail setup gwt 
VARSIG15	gwtpath gwt path gwtpath gwt path 
PACKAGE	springframework roo addon gwt 
MTHSIG2	setupgwt setup gwt 
VARSIG14	element pluginel plugin element 
MTHSIG3	updatedepend updat depend element configur 
VARSIG13	ioexcept except 
MTHSIG8	getgaehookup gae hookup 
MTHSIG9	updatemaveneclipseplugin updat maven plugin 
MTHSIG11	updatespringwebctx updat spring web ctx 
MTHSIG12	removeiffound remov xpath element webxmlroot web xml root 
CLASSES	gwtoperationsimpl gwt oper impl 
METHODS	activ issetupgwtavail setup gwt setupgwt setup gwt updatedepend updat depend updaterepositori updat repositori updateplugin updat plugin updatedatanulcueusplugin updat data nulcueu plugin copydirectorycont copi directori content getgaehookup gae hookup updatemaveneclipseplugin updat maven plugin updatewebxml updat web xml updatespringwebctx updat spring web ctx removeiffound remov 
VARSIG23	xpath 
VARSIG22	except 
VARSIG21	except 
VARSIG20	element pluginel plugin element 
VARSIG25	element toremov remov 
VARSIG24	element webxmlroot web xml root 
MTHSIG10	updatewebxml updat web xml 
VARIABLES	context path path configur dependencyel depend element dependencyel depend element configur repositoryel repositori element repositoryel repositori element configur pluginel plugin element pluginel plugin element gwtpath gwt path url ioe pluginel plugin element xpath webxmlroot web xml root toremov remov filemanag file manag metadataservic metadata servic projectoper project oper mvcoper mvc oper context isgaeen gae enabl fpath path configur pathresolv path resolv srcroot src root antpath ant path fullpath full path javatyp type depend gwtdepend gwt depend gaedepend gae depend repositori pluginrepositori plugin repositori plugin pomxml pom xml mutablepomxml mutabl pom xml pomxmldoc pom xml doc pomroot pom root pluginel plugin element plugin configel config element sourceantpath sourc ant path targetdirectori target directori path url filenam file targetfilenam target filenam input toplevelpackag top level mutablefil mutabl file builder pom pomdoc pom doc mutablepom mutabl pom pomroot pom root pluginel plugin element plugin newentri entri ctx outputdirectori output directori newentri entri ctx webxml web xml mutablewebxml mutabl web xml webxmldoc web xml doc webxmlroot web xml root displaynam displai webresourcecollect web resourc collect rolenam role name userdataconstraint user data constraint mvcxml mvc xml mutablemvcxml mutabl mvc xml mvcxmldoc mvc xml doc rootel root element welcomefil file 
