VARSIG7	serverurl server url 
VARSIG6	 
VARSIG9	except 
VARSIG8	except 
VARSIG3	except 
VARSIG2	serverurl server url 
VARSIG5	testpath test path 
VARSIG4	fieldmetadata field metadata field 
COMMENTS	properti file configur oper creat selenium testcas control javatyp type control test requir test option abort creation selenium test control creation instanc form back object tbodi appendchild append child typekeycommand type kei command selenium field plugin instal instal plugin node typekeycommand type kei command document document fieldmetadata field metadata field node document createel creat element node appendchild append child document createel creat element settextcont set text content typekei type kei node appendchild append child document createel creat element settextcont set text content field getfieldnam field getsymbolnam symbol node appendchild append child document createel creat element settextcont set text content interest type applic editor exist 
VARSIG1	 
VARSIG0	javatyp type control 
VARSIG17	javatyp type javatyp type 
MTHSIG4	clickandwaitcommand click wait command document document linktarget link target 
VARSIG12	document document 
MTHSIG5	typecommand type command document document fieldmetadata field metadata field 
VARSIG11	linktarget link target 
MTHSIG6	converttoiniti convert initi fieldmetadata field metadata field 
VARSIG10	document document 
MTHSIG7	opencommand open command document document linktarget link target 
MTHSIG0	isprojectavail project 
VARSIG16	linktarget link target 
MTHSIG1	generatetest gener test javatyp type control serverurl server url 
VARSIG15	document document 
PACKAGE	springframework roo addon web selenium 
MTHSIG2	managetestsuit manag test suit testpath test path serverurl server url 
VARSIG14	fieldmetadata field metadata field 
MTHSIG3	installmavenplugin instal maven plugin 
VARSIG13	fieldmetadata field metadata field 
MTHSIG8	isspecialtyp special type javatyp type javatyp type 
CLASSES	seleniumoperationsimpl selenium oper impl 
METHODS	isprojectavail project generatetest gener test managetestsuit manag test suit installmavenplugin instal maven plugin clickandwaitcommand click wait command typecommand type command converttoiniti convert initi opencommand open command isspecialtyp special type 
VARIABLES	control serverurl server url field testpath test path serverurl server url document linktarget link target document field field document linktarget link target javatyp type logger filemanag file manag metadataservic metadata servic menuoper menu oper memberdetailsscann member detail scanner projectoper project oper webscaffoldmetadataidentifi web scaffold metadata identifi webscaffoldmetadata web scaffold metadata formbackingtyp form back type relativetestfilepath rel test file path seleniumpath selenium path seleniummutablefil selenium mutabl file selenium templateinputstream templat input stream projectmetadata project metadata root tbodi formbackingobjectphysicaltypemetadata form back object physic type metadata formbackingclassorinterfacedetail formback detail memberdetail member detail relativetestfilepath rel test file path seleniumpath selenium path seleniummutablefil selenium mutabl file suit templateinputstream templat input stream projectmetadata project metadata root pathresolv path resolv pomfilepath pom file path pompath pom path pommutablefil pom mutabl file pom root depend plugin groupid group artifactid artifact version configur suit suitepath suit path browser starturl start url initi cal datetimeformat time format style physicaltypeidentifi physic type identifi 
