MTHSIG28	newent entiti javatyp type createabstract creat javatyp type superclass list annotationmetadatabuild annot metadata builder annot 
MTHSIG29	newidentifi identifi javatyp type identifiertyp identifi type identifierfield identifi field identifiercolumn identifi column 
MTHSIG26	managegaexml manag gae xml ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas applicationid applic modulenam modul 
MTHSIG27	newembeddableclass embedd javatyp type serializ 
MTHSIG24	managegaebuildcommand manag gae build command addgaesettingstoplugin add gae set plugin document document collect 
MTHSIG25	managegaeprojectnatur manag gae project natur addgaesettingstoplugin add gae set plugin document document collect 
MTHSIG22	isjpainstallationposs jpa instal 
MTHSIG23	ispersistentclassavail persist 
MTHSIG4	getdatabaseproperti databas properti 
VARSIG78	providersxpath provid path 
MTHSIG5	getdatabasepropertiespath databas properti path 
VARSIG77	databasexpath databas path 
MTHSIG6	getdbxpath path list jdbcdatabas jdbc databas databas 
VARSIG76	jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG7	getdepend depend xpathexpress path express element configur modulenam modul 
VARSIG75	ormprovid orm provid ormprovid orm provid 
MTHSIG0	configurejpa configur jpa ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas jndi applicationid applic hostnam host databasenam databas usernam user password transactionmanag transact manag persistenceunit persist unit modulenam modul 
MTHSIG1	createpropertyel creat properti element document document 
MTHSIG2	createrefel creat element document document 
MTHSIG3	getconnectionstr connect jdbcdatabas jdbc databas jdbcdatabas jdbc databas hostnam host databasenam databas modulenam modul 
VARSIG79	modulenam modul 
MTHSIG20	hasdatabaseproperti databas properti 
VARSIG70	jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG21	isinstalledinmodul instal modul modulenam modul 
MTHSIG8	getfilt filter xpathexpress path express element configur 
VARSIG74	element configur 
MTHSIG9	getjndipropertiespath jndi properti path 
VARSIG73	persistenceunit persist unit 
VARSIG72	transactionmanag transact manag 
VARSIG71	jndi 
MTHSIG39	updatejndiproperti updat jndi properti 
MTHSIG37	updateeclipseplugin updat plugin addgaesettingstoplugin add gae set plugin 
MTHSIG38	updatefilt updat filter element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas databasexpath databas path providersxpath provid path modulenam modul 
MTHSIG35	updatedatanucleusplugin updat data nucleu plugin addtoplugin add plugin 
MTHSIG36	updatedepend updat depend element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas databasexpath databas path providersxpath provid path modulenam modul 
