VARSIG7	reasonfordelet reason delet 
VARSIG6	pathnam 
VARSIG9	fileidentifi file identifi 
VARSIG8	fileidentifi file identifi 
VARSIG3	fileidentifi file identifi 
VARSIG2	fileidentifi file identifi 
VARSIG5	pathnam 
VARSIG4	fileidentifi file identifi 
COMMENTS	repres primari add on modifi underli disk storag link filemanag file manag instanc acquir link processmanag process manag link filemanag file manag implement guarante link undomanag undo manag link processmanag process manag link processmanag process manag undo reset requir implement elect defer write disk discard link commit link clear invok file identifi pass canon path exist fileidentifi file identifi file directori locat requir canon path format file directori exist obtain input stream file identifi file directori exist time call read access file requir read write access method link filemanag file manag fileidentifi file identifi file read requir canon path format input stream attempt creat directori disk request file identifi path exist canon file format parent directori creat automat creat parent directori remov undo behaviour except thrown path exist fileidentifi file identifi path creat exist requir represent directori creation fail obtain exist file read path canon file format fileidentifi file identifi file read exist requir represent file file exist attempt creat file disk request fileidentifi file identifi path exist canon file format implement guarante link createdirectori creat directori requir creat requir parent directori except thrown path exist fileidentifi file identifi path creat exist requir represent file creation fail attempt delet file directori disk path canon file format path refer directori content directori recurs delet delet fail except thrown pathnam file delet blank valid pathnam link file file illegalargumentexcept illeg argument except file exist attempt delet file directori disk path canon file format path refer directori content directori recurs delet delet fail except thrown pathnam file delet blank valid pathnam link file file reasonfordelet reason delet reason file delet blank illegalargumentexcept illeg argument except file exist updat represent file disk file identifi refer file directori exist violat requir result except identifi canon file format refer document link mutablefil mutabl file restrict usag fileidentifi file identifi file updat file exist requir mutabl present simpl creat updat file skip modif file file content match propos content call text file mechan automat delet unwant file content byte delet exist file consid advanc delet file fail file exist separ delet implement guarante link createdirectori creat directori requir creat requir parent directori implement requir observ link commit link clear semant defin type level javadoc doc fileidentifi file identifi file creat updat requir newcont content replac content requir byte file delet writeimmedi write forc write file disk defer recommend simpl creat updat file skip modif file file content match propos content call text file mechan automat delet unwant file content byte delet exist file consid advanc delet file fail file exist separ delet implement guarante link createdirectori creat directori requir creat requir parent directori implement requir observ link commit link clear semant defin type level javadoc doc fileidentifi file identifi file creat updat requir newcont content replac content requir byte file delet descriptionofchang descript chang addit chang writeimmedi write forc write file disk defer recommend deleg link filemonitorservic file monitor servic findmatchingantpath find match ant path antpath ant path ant path evalu canon file path format requir match identifi empti commit actual disk implement elect defer discard propos disk implement elect defer deleg link filemonitorservic file monitor servic scanal scan link notifiablefilemonitorservic notifi file monitor servic scannotifi scan notifi number detect 
VARSIG1	fileidentifi file identifi 
VARSIG0	fileidentifi file identifi 
MTHSIG4	createfil creat file fileidentifi file identifi 
VARSIG12	fileidentifi file identifi 
MTHSIG5	delet pathnam 
VARSIG11	writeimmedi write 
MTHSIG6	delet pathnam reasonfordelet reason delet 
VARSIG10	newcont content 
MTHSIG7	updatefil updat file fileidentifi file identifi 
MTHSIG0	exist fileidentifi file identifi 
VARSIG16	antpath ant path 
MTHSIG1	getinputstream input stream fileidentifi file identifi 
VARSIG15	writeimmedi write 
PACKAGE	springframework roo process manag 
MTHSIG2	createdirectori creat directori fileidentifi file identifi 
VARSIG14	descriptionofchang descript chang 
MTHSIG3	readfil read file fileidentifi file identifi 
VARSIG13	newcont content 
MTHSIG8	createorupdatetextfileifrequir creat updat text file requir fileidentifi file identifi newcont content writeimmedi write 
MTHSIG9	createorupdatetextfileifrequir creat updat text file requir fileidentifi file identifi newcont content descriptionofchang descript chang writeimmedi write 
MTHSIG13	scan 
MTHSIG11	commit 
MTHSIG12	clear 
CLASSES	filemanag file manag 
METHODS	exist getinputstream input stream createdirectori creat directori readfil read file createfil creat file delet delet updatefil updat file createorupdatetextfileifrequir creat updat text file requir createorupdatetextfileifrequir creat updat text file requir findmatchingantpath find match ant path commit clear scan 
MTHSIG10	findmatchingantpath find match ant path antpath ant path 
VARIABLES	fileidentifi file identifi fileidentifi file identifi fileidentifi file identifi fileidentifi file identifi fileidentifi file identifi pathnam pathnam reasonfordelet reason delet fileidentifi file identifi fileidentifi file identifi newcont content writeimmedi write fileidentifi file identifi newcont content descriptionofchang descript chang writeimmedi write antpath ant path 
