MTHSIG4	testinstalljavaclass test instal 
MTHSIG0	setup set 
MTHSIG1	testmanagewebmvcconfig test manag web mvc config 
PACKAGE	springframework roo addon web mvc control convert 
MTHSIG2	testmanagewebmvcconfig test manag web mvc config managetwotim manag time 
MTHSIG3	testmanagewebmvcconfig test manag web mvc config customconversionservicefound custom convers servic 
COMMENTS	test test test test 
CLASSES	conversionserviceoperationsimpltest convers servic oper impl test 
VARIABLES	web mvc config filemanag file manag projectoper project oper typelocationservic type locat servic oper webmvcconfig web mvc config webmvcconfigfil web mvc config file output webmvcconfig web mvc config webmvcconfig web mvc config webmvcconfigfil web mvc config file webmvcconfig web mvc config webmvcconfig web mvc config webmvcconfigfil web mvc config file javatyp type targetpath target path file output 
VARSIG0	illegalargumentexcept illeg argument except 
METHODS	setup set testmanagewebmvcconfig test manag web mvc config testmanagewebmvcconfig test manag web mvc config managetwotim manag time testmanagewebmvcconfig test manag web mvc config customconversionservicefound custom convers servic testinstalljavaclass test instal 
