MTHSIG0	getphysicaltypedetails physical type details
MTHSIG1	getphysicallocationcanonicalpath physical location canonical path
PACKAGE	springframework roo classpath
MTHSIG2	getitdcanoncialpath canoncial path itdmetadataprovider metadata provider metadataprovider metadata provider
MTHSIG3	getitdjavatype type itdmetadataprovider metadata provider metadataprovider metadata provider
COMMENTS	represents metadata link physicaltypeidentifiernamingutils physical type identifier naming utils represent annotation type note subclasses support declarations link classorinterfacetypedetails type details support option annotation enumeration empty types link physicaltypemetadata physical type metadata parsed source code parsed bytecode parsed bytecode jar note link physicaltypemetadata physical type metadata include members explicitly declared relevant source bytecode explicitly excludes members introduced inter type declaration special bytecode modification techniques itdmetadataprovider metadata provider actual details physical type parsed unable parse location disk file resource canonical format obtains canonical file path emitted physical type metadataprovider metadata provider link itdmetadataprovider metadata provider getitduniquenessfilenamesuffix uniqueness filename suffix queried full file path produce obtains link javatype type represents physical type metadataprovider metadata provider link itdmetadataprovider metadata provider getitduniquenessfilenamesuffix uniqueness filename suffix queried link javatype type applicable
CLASSES	physicaltypemetadata physical type metadata
VARIABLES	metadataprovider metadata provider metadataprovider metadata provider
VARSIG1	itdmetadataprovider metadata provider metadataprovider metadata provider
VARSIG0	itdmetadataprovider metadata provider metadataprovider metadata provider
METHODS	getphysicaltypedetails physical type details getphysicallocationcanonicalpath physical location canonical path getitdcanoncialpath canoncial path getitdjavatype type
