MTHSIG4	isautomatictrust automat trust 
MTHSIG5	setautomatictrust set automat trust automatictrust automat trust 
MTHSIG6	gettrustedkei trust 
MTHSIG7	trust pgpkeyid pgp kei keyid kei 
VARSIG31	pgppublickeyr pgp kei ring keyr kei ring 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	trustdefaultkeysifrequir trust requir 
PACKAGE	springframework roo felix pgp 
MTHSIG2	trustdefaultkei trust 
MTHSIG3	getkeystorephysicalloc kei store physic locat 
MTHSIG8	trust pgppublickeyr pgp kei ring keyr kei ring 
VARSIG30	except 
MTHSIG9	untrust pgpkeyid pgp kei keyid kei 
CLASSES	pgpserviceimpl pgp servic impl 
VARSIG29	inputstream input stream signatur 
VARSIG28	inputstream input stream resourc 
METHODS	activ trustdefaultkeysifrequir trust requir trustdefaultkei trust getkeystorephysicalloc kei store physic locat isautomatictrust automat trust setautomatictrust set automat trust gettrustedkei trust trust trust untrust refresh getpublickei kei getpublickei kei getkeyserverurltoretrievekeyid kei server url retriev kei getkeyserverurltoretrievekeyinform kei server url retriev kei issignatureaccept signatur accept isresourcesignedbysignatur resourc sign signatur getdiscoveredkeyid discov kei id rememberkei rememb kei 
VARSIG23	pgpkeyid pgp kei keyid kei 
VARSIG22	malformedurlexcept malform url except 
VARSIG21	pgpkeyid pgp kei keyid kei 
VARSIG20	except 
VARSIG27	pgppublickeyr pgp kei ring keyr kei ring 
VARSIG26	except 
VARSIG25	inputstream input stream signatur 
VARSIG24	malformedurlexcept malform url except 
VARSIG7	except 
VARSIG6	automatictrust automat trust 
VARSIG9	pgppublickeyr pgp kei ring keyr kei ring 
VARSIG8	pgpkeyid pgp kei keyid kei 
VARSIG3	url url 
VARSIG2	url url url 
VARSIG5	ioexcept except 
VARSIG4	ioexcept except 
COMMENTS	implement link pgpservic pgp servic store user user pgp spring roo pgp bpg file kei file consid trust user expir time ship roo file automat file disk implement verifi detach armor signatur produc file gpg armor detach sign file sign ext constant field defaultkeyserverurl kei server url http pgp mit pk lookup search instanc field seed discov databas setup trust automat uri pgp keystor file instal osgi bundl trust trust store kei revok trust write disk trust build list trust end locat element remov record write disk trust build list refresh locat element remov record refresh can retriev store kei revok write disk obtain url download kei kei server kei upload keyid kei hex encod kei download requir url special store kei valid loop user trust kei don approv signatur user told verifi sign content simpli store kei link discoveredkeyid discov kei id refer kei id link pgppublickeyr pgp kei ring ensur input valid kei locat kei id sign kei note link discoveredkeyid discov kei id kei function simpli user conveni keyr kei ring kei store requir 
VARSIG19	inputstream input stream 
VARSIG1	url url url 
VARSIG18	except 
VARSIG0	componentcontext compon context context 
VARSIG17	pgpkeyid pgp kei keyid kei 
VARSIG12	pgppublickeyr pgp kei ring candid 
VARSIG11	pgpkeyid pgp kei keyid kei 
VARSIG10	except 
VARSIG16	except 
VARSIG15	except 
VARSIG14	pgppublickeyr pgp kei ring candid 
VARSIG13	except 
MTHSIG17	getdiscoveredkeyid discov kei id 
MTHSIG18	rememberkei rememb kei pgppublickeyr pgp kei ring keyr kei ring 
MTHSIG15	issignatureaccept signatur accept inputstream input stream signatur 
MTHSIG16	isresourcesignedbysignatur resourc sign signatur inputstream input stream resourc inputstream input stream signatur 
MTHSIG13	getkeyserverurltoretrievekeyid kei server url retriev kei pgpkeyid pgp kei keyid kei 
MTHSIG14	getkeyserverurltoretrievekeyinform kei server url retriev kei pgpkeyid pgp kei keyid kei 
MTHSIG11	getpublickei kei pgpkeyid pgp kei keyid kei 
MTHSIG12	getpublickei kei inputstream input stream 
MTHSIG10	refresh 
VARIABLES	context url url url url url automatictrust automat trust keyid kei keyr kei ring keyid kei candid candid keyid kei keyid kei keyid kei signatur keyr kei ring resourc signatur keyr kei ring buffer size roo pgp file defaultkeyserverurl kei server url urlinputstreamservic url input stream servic automatictrust automat trust context discoveredkeyid discov kei id keyserv url inputstream input stream fi pubr pub ring rit result pgppub pgp pub keyr kei ring trust fo newcollect collect trust stilltrust trust remov stilltrust trust pgpkei pgp kei candidatekeyid candid kei fo newcollect collect result trust stilltrust trust firstkei kei candidatekeyid candid kei newkeyr kei ring fo newcollect collect lookup obj pgpfact pgp fact keyr kei ring keyurl kei url keyindexurl kei url factori obj pgpsignatur pgp signatur keyidinhex kei hex signatureaccept signatur accept candid publickei kei pgpsignatur pgp signatur keyr kei ring buff chunk kei keyid kei useriditer user iter userid user signatureiter signatur iter signatur signaturekeyid signatur kei 
