VARSIG7	javasymbolnam symbol 
VARSIG6	symbolnam symbol 
VARSIG8	object obj 
VARSIG3	javatyp type javatyp type 
VARSIG2	javatyp type javatyp type 
VARSIG5	illegalargumentexcept illeg argument except 
VARSIG4	 
COMMENTS	immut represent field common legal identifi ensur field properli form constant keyword constant keyword verifi present valid enforc textual content slash start number space illeg charact start period evalu requir note regular express legal charact slower profil approach camel human readabl form construct symbol adher strict javabean bean name convent avoid link reservedword reserv suffix javatyp type link javatyp type symbol creat symbol adher javabean bean convent avoid reserv prefix creat name don work derbi roo construct symbol adher strict javabean bean name convent avoid link reservedword reserv prefix javatyp type link javatyp type symbol creat symbol adher javabean bean convent avoid reserv link getreservedwordsafenam reserv word safe javatyp type name construct symbol enforc rule list link assertjavanameleg legal symbolnam symbol mandatori ad field ensur equal object updat normal convent deleg compareto compar effici reason symbol human readabl form symbol empti symbol capitalis letter empti 
VARSIG1	camelcas camel 
VARSIG0	 
MTHSIG4	islegaljavanam legal 
MTHSIG5	javasymbolnam symbol symbolnam symbol 
MTHSIG6	compareto compar javasymbolnam symbol 
MTHSIG7	equal object obj 
MTHSIG0	assertjavanameleg legal 
MTHSIG1	getreadablesymbolnam readabl symbol camelcas camel 
PACKAGE	springframework roo model 
MTHSIG2	getreservedwordsafenam reserv word safe javatyp type javatyp type 
MTHSIG3	getreservedwordsavenam reserv word save javatyp type javatyp type 
MTHSIG8	getreadablesymbolnam readabl symbol 
MTHSIG9	getsymbolnam symbol 
MTHSIG11	hashcod hash code 
MTHSIG12	tostr 
CLASSES	javasymbolnam symbol 
METHODS	assertjavanameleg legal getreadablesymbolnam readabl symbol getreservedwordsafenam reserv word safe getreservedwordsavenam reserv word save islegaljavanam legal javasymbolnam symbol compareto compar equal getreadablesymbolnam readabl symbol getsymbolnam symbol getsymbolnamecapitalisedfirstlett symbol capitalis letter hashcod hash code tostr 
MTHSIG10	getsymbolnamecapitalisedfirstlett symbol capitalis letter 
VARIABLES	camelcas camel javatyp type javatyp type symbolnam symbol obj builder simpletypenam simpl type str symbolnam symbol camelcas camel 
