MTHSIG28	iscompat compat version 
MTHSIG29	getversionforcompat version compat 
MTHSIG26	checkaddonstabilitylevel check add stabil level addonstabilitylevel add stabil level addonstabilitylevel add stabil level 
MTHSIG27	printsepar print separ 
MTHSIG24	verifyrepositori verifi repositori repourl repo url 
MTHSIG25	getupgradablebundl upgrad bundl addonstabilitylevel add stabil level asl 
MTHSIG22	countbundl count bundl 
MTHSIG23	loginfo log info label content 
MTHSIG4	installaddon instal add addonbundlesymbolicnam add bundl symbol bsn 
MTHSIG5	installaddon instal add bundlekei bundl kei 
MTHSIG6	installaddon instal addon bundlevers bundl version bundlevers bundl version bsn 
MTHSIG7	installorupgradeaddon instal upgrad add bundlevers bundl version bundlevers bundl version bsn instal 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	addoninfo add info addonbundlesymbolicnam add bundl symbol bsn 
MTHSIG2	addoninfo add info bundlekei bundl kei 
MTHSIG3	addoninfo add info bundl bundl bundlevers bundl version bundlevers bundl version 
MTHSIG20	populatebundlecach popul bundl cach startuptim startup time 
MTHSIG21	printaddonstat print addon stat 
MTHSIG8	removeaddon remov add bundlesymbolicnam bundl symbol bsn 
MTHSIG9	searchaddon search add on showfeedback feedback searchterm search term refresh linesperresult line result maxresult max trustedonli trust compatibleonli compat requirescommand requir command 
METHODS	activ addoninfo add info addoninfo add info addoninfo add info installaddon instal add installaddon instal add installaddon instal addon installorupgradeaddon instal upgrad add removeaddon remov add searchaddon search add on listaddon list add on upgradesavail upgrad upgradeaddon upgrad add on upgradeaddon upgrad add upgradeaddon upgrad add upgradeset upgrad set getaddoncach add cach filterlist filter list printresultlist print result list istrustedkei trust kei populatebundlecach popul bundl cach printaddonstat print addon stat countbundl count bundl loginfo log info verifyrepositori verifi repositori getupgradablebundl upgrad bundl checkaddonstabilitylevel check add stabil level printsepar print separ iscompat compat getversionforcompat version compat 
VARSIG67	osgi framework bundl bundl 
VARSIG66	addonstabilitylevel add stabil level asl 
VARSIG65	except 
VARSIG64	element resourc 
VARSIG69	version 
VARSIG68	addonstabilitylevel add stabil level addonstabilitylevel add stabil level 
VARSIG63	repourl repo url 
VARSIG62	content 
VARSIG61	label 
VARSIG60	ioexcept except 
COMMENTS	implement command roo shell pgp verif requir bundl instal log need refresh set relev bundl problem add refresh handl http wasn eager startup time attempt let displai error reason startup time fail quietli appear acquir url let fallback normal protocol handler local develop test interest major minor secur reason accept httppgp add version prevent thread present roo shell 
VARSIG19	linesperresult line result 
VARSIG18	refresh 
VARSIG17	searchterm search term 
VARSIG12	bundlevers bundl version bundlevers bundl version 
VARSIG11	bsn 
VARSIG10	bundlevers bundl version bundlevers bundl version 
VARSIG16	showfeedback feedback 
VARSIG15	bundlesymbolicnam bundl symbol bsn 
VARSIG14	instal 
VARSIG13	bsn 
MTHSIG17	filterlist filter list list bundl bundl trustedonli trust compatibleonli compat requirescommand requir command onlyrelevantbundl relev bundl 
MTHSIG18	printresultlist print result list linkedlist link list bundl bundl maxresult max linesperresult line result 
MTHSIG15	upgradeset upgrad set addonstabilitylevel add stabil level addonstabilitylevel add stabil level 
MTHSIG16	getaddoncach add cach refresh 
MTHSIG13	upgradeaddon upgrad add addonbundlesymbolicnam add bundl symbol bsn 
MTHSIG14	upgradeaddon upgrad add bundleid bundl 
