VARSIG6	annotationattributevalu annot attribut object val 
VARSIG3	javasymbolnam symbol attributenam attribut 
VARSIG2	importregistrationresolv registr resolv resolv 
VARSIG5	importregistrationresolv registr resolv resolv 
VARSIG4	annotationattributevalu annot attribut object 
COMMENTS	util link annotationmetadata annot metadata convert annot base form annot covert requir base represent convert annot base form annot covert requir resolv automat addit type base represent add comma separ annot attribut comput support attribut 
CLASSES	annotationmetadatautil annot metadata util 
VARSIG1	annotationmetadata annot metadata annot 
VARSIG0	annotationmetadata annot metadata annot 
METHODS	tosourceform sourc form tosourceform sourc form computeattributevalu comput attribut 
MTHSIG0	tosourceform sourc form annotationmetadata annot metadata annot 
MTHSIG1	tosourceform sourc form annotationmetadata annot metadata annot importregistrationresolv registr resolv resolv 
PACKAGE	springframework roo classpath detail 
MTHSIG2	computeattributevalu comput attribut annotationattributevalu annot attribut object importregistrationresolv registr resolv resolv 
VARIABLES	annot annot resolv attributenam attribut resolv val requirecomma requir comma attributevalu attribut attributevalu attribut clazz dbl enumdetail detail clazz arrai data 
